context,out_tile,word_addr,seq_word,raw0,raw1,raw2,raw3,raw4,raw5,raw6,raw7,raw8,raw9,raw10,raw11,raw12,raw13,raw14,raw15
0,0,49,49,0,0,0,-1,0,0,1,0,0,0,0,-1,1,0,0,0
0,0,50,50,-2,0,0,0,0,0,0,0,2,-1,0,0,1,0,1,0
0,0,51,51,1,0,-1,0,0,0,0,-1,0,1,0,0,0,0,-1,-1
0,0,52,52,-1,0,0,0,1,-1,0,1,0,-2,0,0,0,-1,0,0
0,0,53,53,0,0,0,0,0,-1,0,1,-1,-1,0,0,0,0,0,0
0,0,54,54,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1
0,0,55,55,1,0,0,0,-2,2,0,0,-1,0,0,0,0,-1,0,0
0,0,56,56,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0
0,0,57,57,0,0,0,-1,1,0,1,1,1,0,0,0,-2,-1,0,0
0,0,58,58,-1,0,0,0,1,0,0,0,0,0,0,1,-1,0,1,0
0,0,59,59,0,0,-1,0,2,-1,0,-1,0,0,0,1,1,-1,0,1
0,0,60,60,0,0,2,1,0,2,-1,0,0,1,0,0,0,0,0,-2
0,0,61,61,0,1,0,-1,1,-1,0,0,0,0,0,1,0,-1,0,0
0,0,62,62,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,-1
0,0,63,63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
